iter	Passed	Remaining
0	4	488
1	8	431
2	10	346
3	12	302
4	15	297
5	17	273
6	20	271
7	24	279
8	26	271
9	30	277
10	32	266
11	35	258
12	38	255
13	40	247
14	42	239
15	44	234
16	46	228
17	48	221
18	50	217
19	54	216
20	55	209
21	57	204
22	60	202
23	61	196
24	63	190
25	67	191
26	69	187
27	72	187
28	77	190
29	80	188
30	87	194
31	90	191
32	92	187
33	94	183
34	96	180
35	99	177
36	101	173
37	103	169
38	106	165
39	107	161
40	108	156
41	109	151
42	112	149
43	114	146
44	117	143
45	120	140
46	122	138
47	125	136
48	128	133
49	130	130
50	132	127
51	135	125
52	138	123
53	143	122
54	144	118
55	147	115
56	150	113
57	153	111
58	156	108
59	158	105
60	160	102
61	162	99
62	164	96
63	169	95
64	171	92
65	174	90
66	177	87
67	178	84
68	181	81
69	183	78
70	185	75
71	188	73
72	191	70
73	193	68
74	199	66
75	207	65
76	210	62
77	212	59
78	214	56
79	218	54
80	220	51
81	225	49
82	226	46
83	228	43
84	230	40
85	233	37
86	235	35
87	237	32
88	239	29
89	240	26
90	241	23
91	243	21
92	247	18
93	248	15
94	251	13
95	257	10
96	260	8
97	264	5
98	266	2
99	269	0
